"Step","stateleaky-1e-4 - eval_bit_acc","stateleaky-1e-4 - eval_bit_acc__MIN","stateleaky-1e-4 - eval_bit_acc__MAX","stateleaky-5e-4 - eval_bit_acc","stateleaky-5e-4 - eval_bit_acc__MIN","stateleaky-5e-4 - eval_bit_acc__MAX","stateleaky-3e-4 - eval_bit_acc","stateleaky-3e-4 - eval_bit_acc__MIN","stateleaky-3e-4 - eval_bit_acc__MAX","gen2-assoc-eval-5e-4 - eval_bit_acc","gen2-assoc-eval-5e-4 - eval_bit_acc__MIN","gen2-assoc-eval-5e-4 - eval_bit_acc__MAX","gen2-assoc-eval-3e-4 - eval_bit_acc","gen2-assoc-eval-3e-4 - eval_bit_acc__MIN","gen2-assoc-eval-3e-4 - eval_bit_acc__MAX","gen2-assoc-eval-1e-4 - eval_bit_acc","gen2-assoc-eval-1e-4 - eval_bit_acc__MIN","gen2-assoc-eval-1e-4 - eval_bit_acc__MAX"
"989","0.62578125","0.62578125","0.62578125","0.624609375","0.624609375","0.624609375","0.62328125","0.62328125","0.62328125","0.733125","0.733125","0.733125","0.913828125","0.913828125","0.913828125","0.86890625","0.86890625","0.86890625"
"1000","0.620390625","0.620390625","0.620390625","0.621796875","0.621796875","0.621796875","0.621328125","0.621328125","0.621328125","0.753828125","0.753828125","0.753828125","0.91515625","0.91515625","0.91515625","0.87265625","0.87265625","0.87265625"
"1011","0.6209375","0.6209375","0.6209375","0.619921875","0.619921875","0.619921875","0.6203125","0.6203125","0.6203125","0.69828125","0.69828125","0.69828125","0.909375","0.909375","0.909375","0.87484375","0.87484375","0.87484375"
"1022","0.624609375","0.624609375","0.624609375","0.626015625","0.626015625","0.626015625","0.620703125","0.620703125","0.620703125","0.763359375","0.763359375","0.763359375","0.919609375","0.919609375","0.919609375","0.871640625","0.871640625","0.871640625"
"1033","0.6240625","0.6240625","0.6240625","0.6215625","0.6215625","0.6215625","0.62125","0.62125","0.62125","0.756953125","0.756953125","0.756953125","0.918125","0.918125","0.918125","0.878359375","0.878359375","0.878359375"
"1044","0.621875","0.621875","0.621875","0.62390625","0.62390625","0.62390625","0.620703125","0.620703125","0.620703125","0.763359375","0.763359375","0.763359375","0.92171875","0.92171875","0.92171875","0.871171875","0.871171875","0.871171875"
"1055","0.622265625","0.622265625","0.622265625","0.6265625","0.6265625","0.6265625","0.62375","0.62375","0.62375","0.724609375","0.724609375","0.724609375","0.917734375","0.917734375","0.917734375","0.8740625","0.8740625","0.8740625"
"1066","0.623515625","0.623515625","0.623515625","0.6234375","0.6234375","0.6234375","0.6265625","0.6265625","0.6265625","0.74890625","0.74890625","0.74890625","0.92140625","0.92140625","0.92140625","0.8753125","0.8753125","0.8753125"
"1077","0.622109375","0.622109375","0.622109375","0.6271875","0.6271875","0.6271875","0.6209375","0.6209375","0.6209375","0.745234375","0.745234375","0.745234375","0.92375","0.92375","0.92375","0.869296875","0.869296875","0.869296875"
"1088","0.620859375","0.620859375","0.620859375","0.623046875","0.623046875","0.623046875","0.62171875","0.62171875","0.62171875","0.75921875","0.75921875","0.75921875","0.91828125","0.91828125","0.91828125","0.878203125","0.878203125","0.878203125"
"1099","0.624921875","0.624921875","0.624921875","0.626015625","0.626015625","0.626015625","0.620390625","0.620390625","0.620390625","0.765234375","0.765234375","0.765234375","0.928203125","0.928203125","0.928203125","0.877734375","0.877734375","0.877734375"
"1110","0.6178125","0.6178125","0.6178125","0.6278125","0.6278125","0.6278125","0.620703125","0.620703125","0.620703125","0.7621875","0.7621875","0.7621875","0.9290625","0.9290625","0.9290625","0.87703125","0.87703125","0.87703125"
"1121","0.621875","0.621875","0.621875","0.6259375","0.6259375","0.6259375","0.623125","0.623125","0.623125","0.77015625","0.77015625","0.77015625","0.92984375","0.92984375","0.92984375","0.878359375","0.878359375","0.878359375"
"1132","0.623359375","0.623359375","0.623359375","0.621640625","0.621640625","0.621640625","0.6259375","0.6259375","0.6259375","0.769296875","0.769296875","0.769296875","0.93109375","0.93109375","0.93109375","0.88171875","0.88171875","0.88171875"
"1143","0.621953125","0.621953125","0.621953125","0.6265625","0.6265625","0.6265625","0.624296875","0.624296875","0.624296875","0.767890625","0.767890625","0.767890625","0.926875","0.926875","0.926875","0.873359375","0.873359375","0.873359375"
"1154","0.624765625","0.624765625","0.624765625","0.627578125","0.627578125","0.627578125","0.621171875","0.621171875","0.621171875","0.76359375","0.76359375","0.76359375","0.923125","0.923125","0.923125","0.87359375","0.87359375","0.87359375"
"1165","0.6228125","0.6228125","0.6228125","0.625625","0.625625","0.625625","0.622890625","0.622890625","0.622890625","0.77765625","0.77765625","0.77765625","0.932265625","0.932265625","0.932265625","0.882578125","0.882578125","0.882578125"
