"Step","stateleaky - ppl","stateleaky - ppl__MIN","stateleaky - ppl__MAX","leaky - ppl","leaky - ppl__MIN","leaky - ppl__MAX"
"100","","","","388.6194866774953","388.6194866774953","388.6194866774953"
"101","","","","383.41969589911946","383.41969589911946","383.41969589911946"
"102","","","","387.16942213181824","387.16942213181824","387.16942213181824"
"103","","","","369.33314906919196","369.33314906919196","369.33314906919196"
"104","","","","388.7921316624823","388.7921316624823","388.7921316624823"
"105","","","","375.7496083162565","375.7496083162565","375.7496083162565"
"107","","","","358.6565517736948","358.6565517736948","358.6565517736948"
"108","","","","368.6330490444909","368.6330490444909","368.6330490444909"
"109","","","","371.7288986362285","371.7288986362285","371.7288986362285"
"111","","","","377.2828474440371","377.2828474440371","377.2828474440371"
"112","","","","374.9559420550968","374.9559420550968","374.9559420550968"
"114","","","","389.7368049438705","389.7368049438705","389.7368049438705"
"116","","","","378.1188907869186","378.1188907869186","378.1188907869186"
"117","","","","371.7466108096592","371.7466108096592","371.7466108096592"
"118","343.6707221367223","343.6707221367223","343.6707221367223","385.41930445970075","385.41930445970075","385.41930445970075"
"121","","","","393.8682341192243","393.8682341192243","393.8682341192243"
"122","","","","389.7297521777248","389.7297521777248","389.7297521777248"
"123","","","","372.5224069607189","372.5224069607189","372.5224069607189"
"124","","","","372.73125053672806","372.73125053672806","372.73125053672806"
"125","","","","374.8352183425567","374.8352183425567","374.8352183425567"
"126","","","","400.43959603959354","400.43959603959354","400.43959603959354"
"127","","","","385.989541640633","385.989541640633","385.989541640633"
"128","","","","390.3039886687003","390.3039886687003","390.3039886687003"
"130","","","","369.250149555165","369.250149555165","369.250149555165"
"131","","","","381.85357241570046","381.85357241570046","381.85357241570046"
"133","","","","377.3769792623119","377.3769792623119","377.3769792623119"
"134","","","","375.3289487158046","375.3289487158046","375.3289487158046"
"135","","","","403.1582441813423","403.1582441813423","403.1582441813423"
"136","","","","364.0938230032245","364.0938230032245","364.0938230032245"
"138","","","","361.0956543675321","361.0956543675321","361.0956543675321"
"139","","","","413.3697016454365","413.3697016454365","413.3697016454365"
"142","","","","388.63620635341994","388.63620635341994","388.63620635341994"
"143","","","","389.99809164133444","389.99809164133444","389.99809164133444"
"145","","","","375.588974129932","375.588974129932","375.588974129932"
"146","","","","404.3544405341988","404.3544405341988","404.3544405341988"
"148","","","","387.22210080917966","387.22210080917966","387.22210080917966"
"149","","","","378.8175936297248","378.8175936297248","378.8175936297248"
"150","318.9400170489807","318.9400170489807","318.9400170489807","366.7536535741609","366.7536535741609","366.7536535741609"
"152","","","","372.01858382389753","372.01858382389753","372.01858382389753"
"153","339.3382589575091","339.3382589575091","339.3382589575091","385.6413279122171","385.6413279122171","385.6413279122171"
"154","","","","377.77889279592506","377.77889279592506","377.77889279592506"
"155","","","","385.9328402019986","385.9328402019986","385.9328402019986"
"156","","","","409.3391292409403","409.3391292409403","409.3391292409403"
"157","","","","370.15614322628966","370.15614322628966","370.15614322628966"
"158","","","","375.2071985947368","375.2071985947368","375.2071985947368"
"159","","","","389.0113221191492","389.0113221191492","389.0113221191492"
"160","","","","388.107480970653","388.107480970653","388.107480970653"
"162","","","","360.27564010643624","360.27564010643624","360.27564010643624"
"163","351.38416456425284","351.38416456425284","351.38416456425284","401.0729566016412","401.0729566016412","401.0729566016412"
"164","","","","379.02169647581286","379.02169647581286","379.02169647581286"
"166","","","","371.5892696725826","371.5892696725826","371.5892696725826"
"167","","","","387.3316306820596","387.3316306820596","387.3316306820596"
"168","","","","378.26721543398327","378.26721543398327","378.26721543398327"
"169","","","","364.304640190049","364.304640190049","364.304640190049"
"170","","","","370.5553649764051","370.5553649764051","370.5553649764051"
"171","","","","419.5548872544061","419.5548872544061","419.5548872544061"
"172","","","","385.54441377408546","385.54441377408546","385.54441377408546"
"173","","","","390.01177823902606","390.01177823902606","390.01177823902606"
"174","","","","364.6484020359239","364.6484020359239","364.6484020359239"
"175","","","","384.0015073145072","384.0015073145072","384.0015073145072"
"176","","","","375.20736851343503","375.20736851343503","375.20736851343503"
"177","","","","389.41836086284957","389.41836086284957","389.41836086284957"
"181","","","","363.61724413869104","363.61724413869104","363.61724413869104"
"182","","","","397.5538298704506","397.5538298704506","397.5538298704506"
"183","","","","382.90865405171184","382.90865405171184","382.90865405171184"
"184","304.29318184441524","304.29318184441524","304.29318184441524","353.536541656363","353.536541656363","353.536541656363"
"185","","","","393.6320560006048","393.6320560006048","393.6320560006048"
"187","","","","400.4542405960018","400.4542405960018","400.4542405960018"
"189","","","","390.1199727836717","390.1199727836717","390.1199727836717"
"191","","","","374.5250811348694","374.5250811348694","374.5250811348694"
"192","","","","394.9057721105465","394.9057721105465","394.9057721105465"
"193","","","","374.62631240358377","374.62631240358377","374.62631240358377"
"194","","","","399.9896250498372","399.9896250498372","399.9896250498372"
"195","","","","405.4320068833816","405.4320068833816","405.4320068833816"
"196","","","","360.5295916804725","360.5295916804725","360.5295916804725"
"197","","","","355.86431300592676","355.86431300592676","355.86431300592676"
"201","","","","368.0319358483893","368.0319358483893","368.0319358483893"
"202","","","","379.8925133848307","379.8925133848307","379.8925133848307"
"203","","","","391.32792966373546","391.32792966373546","391.32792966373546"
"204","","","","375.67950249517173","375.67950249517173","375.67950249517173"
"207","","","","383.91796564273614","383.91796564273614","383.91796564273614"
"209","","","","371.95812072617446","371.95812072617446","371.95812072617446"
"211","","","","380.012873960545","380.012873960545","380.012873960545"
"213","","","","367.6164111444948","367.6164111444948","367.6164111444948"
"217","","","","382.8339069807881","382.8339069807881","382.8339069807881"
"219","","","","377.64423205419246","377.64423205419246","377.64423205419246"
"220","","","","377.21485776467745","377.21485776467745","377.21485776467745"
"221","","","","385.7736651105575","385.7736651105575","385.7736651105575"
"222","","","","404.1853410944247","404.1853410944247","404.1853410944247"
"223","","","","376.8284078061244","376.8284078061244","376.8284078061244"
"224","","","","396.02259338151987","396.02259338151987","396.02259338151987"
"225","","","","390.4646025350556","390.4646025350556","390.4646025350556"
"226","","","","381.5044817608606","381.5044817608606","381.5044817608606"
"227","","","","384.3987318524892","384.3987318524892","384.3987318524892"
"228","","","","371.5412949425208","371.5412949425208","371.5412949425208"
"229","","","","370.58768897423255","370.58768897423255","370.58768897423255"
"230","","","","395.24780209643467","395.24780209643467","395.24780209643467"
"231","","","","397.433353123338","397.433353123338","397.433353123338"
"233","","","","379.99957057862827","379.99957057862827","379.99957057862827"
"234","","","","363.5252874553892","363.5252874553892","363.5252874553892"
"235","","","","363.96641780626635","363.96641780626635","363.96641780626635"
"236","","","","376.24090111806186","376.24090111806186","376.24090111806186"
"237","","","","381.2883689757423","381.2883689757423","381.2883689757423"
"238","","","","369.81980809002124","369.81980809002124","369.81980809002124"
"240","","","","377.13990581458904","377.13990581458904","377.13990581458904"
"241","","","","381.77742387069617","381.77742387069617","381.77742387069617"
"242","","","","380.0739907259245","380.0739907259245","380.0739907259245"
"243","","","","391.44379346991246","391.44379346991246","391.44379346991246"
"244","","","","366.263861155961","366.263861155961","366.263861155961"
"246","","","","387.46925626920057","387.46925626920057","387.46925626920057"
"247","","","","375.27092130449176","375.27092130449176","375.27092130449176"
"248","","","","387.2505444154566","387.2505444154566","387.2505444154566"
"249","","","","391.87439595723","391.87439595723","391.87439595723"
"250","","","","365.67523741743673","365.67523741743673","365.67523741743673"
"252","","","","366.8731861699417","366.8731861699417","366.8731861699417"
"253","","","","382.36941239445895","382.36941239445895","382.36941239445895"
"254","","","","372.02995507429114","372.02995507429114","372.02995507429114"
"255","","","","380.3567214337508","380.3567214337508","380.3567214337508"
"256","","","","403.10897220243055","403.10897220243055","403.10897220243055"
"258","307.73772130335226","307.73772130335226","307.73772130335226","370.7674916098942","370.7674916098942","370.7674916098942"
"260","","","","365.2496297757748","365.2496297757748","365.2496297757748"
"261","","","","386.5091272851872","386.5091272851872","386.5091272851872"
"265","322.31743046207515","322.31743046207515","322.31743046207515","384.7491713116685","384.7491713116685","384.7491713116685"
"267","","","","382.1647245704575","382.1647245704575","382.1647245704575"
"269","","","","379.35736426368607","379.35736426368607","379.35736426368607"
"270","","","","387.2583457671799","387.2583457671799","387.2583457671799"
"271","","","","368.9202708248508","368.9202708248508","368.9202708248508"
"272","","","","381.4935227615207","381.4935227615207","381.4935227615207"
"273","","","","371.59013392308594","371.59013392308594","371.59013392308594"
"274","","","","387.9552289496948","387.9552289496948","387.9552289496948"
"275","","","","353.844579011315","353.844579011315","353.844579011315"
"276","","","","383.3061748673033","383.3061748673033","383.3061748673033"
"277","302.3835871205869","302.3835871205869","302.3835871205869","367.72755412898493","367.72755412898493","367.72755412898493"
"278","","","","387.1759044657259","387.1759044657259","387.1759044657259"
"279","","","","384.6989682708837","384.6989682708837","384.6989682708837"
"280","286.621292643164","286.621292643164","286.621292643164","350.7704856151582","350.7704856151582","350.7704856151582"
"282","","","","364.6678356850867","364.6678356850867","364.6678356850867"
"283","","","","391.282999005151","391.282999005151","391.282999005151"
"286","","","","381.00739416917327","381.00739416917327","381.00739416917327"
"287","","","","375.6937803996828","375.6937803996828","375.6937803996828"
"289","","","","363.8439276232382","363.8439276232382","363.8439276232382"
"290","","","","381.376274833487","381.376274833487","381.376274833487"
"291","","","","373.42590857501216","373.42590857501216","373.42590857501216"
"292","","","","357.7723132989433","357.7723132989433","357.7723132989433"
"293","","","","356.19727626968836","356.19727626968836","356.19727626968836"
"294","","","","365.6641017962681","365.6641017962681","365.6641017962681"
"297","","","","383.75688271179786","383.75688271179786","383.75688271179786"
"299","","","","367.1668467662772","367.1668467662772","367.1668467662772"
"300","307.9476651400223","307.9476651400223","307.9476651400223","376.5633101521922","376.5633101521922","376.5633101521922"
"302","","","","366.80174877209066","366.80174877209066","366.80174877209066"
"303","","","","389.15835824220875","389.15835824220875","389.15835824220875"
"304","303.82749307185577","303.82749307185577","303.82749307185577","373.22379322589165","373.22379322589165","373.22379322589165"
"305","","","","364.94753393023194","364.94753393023194","364.94753393023194"
"306","","","","357.9752447213889","357.9752447213889","357.9752447213889"
"307","","","","371.4995866847826","371.4995866847826","371.4995866847826"
"308","","","","373.78835904521435","373.78835904521435","373.78835904521435"
"309","","","","366.92525413263246","366.92525413263246","366.92525413263246"
"313","","","","371.93322548094216","371.93322548094216","371.93322548094216"
"314","","","","395.97886264551585","395.97886264551585","395.97886264551585"
"315","","","","366.62081542779083","366.62081542779083","366.62081542779083"
"316","","","","419.924062757794","419.924062757794","419.924062757794"
"317","299.28611960781603","299.28611960781603","299.28611960781603","363.37544771282273","363.37544771282273","363.37544771282273"
"318","","","","381.0588083318766","381.0588083318766","381.0588083318766"
"319","","","","348.8374735138423","348.8374735138423","348.8374735138423"
"320","","","","377.506411660074","377.506411660074","377.506411660074"
"321","","","","377.8699279744201","377.8699279744201","377.8699279744201"
"322","","","","367.51772890296104","367.51772890296104","367.51772890296104"
"324","","","","384.00009990312395","384.00009990312395","384.00009990312395"
"325","","","","388.84697829550646","388.84697829550646","388.84697829550646"
"326","","","","366.6333073838053","366.6333073838053","366.6333073838053"
"327","","","","368.8936635853435","368.8936635853435","368.8936635853435"
"328","","","","368.5253630468622","368.5253630468622","368.5253630468622"
"330","","","","354.154728984662","354.154728984662","354.154728984662"
"331","","","","355.7443046783008","355.7443046783008","355.7443046783008"
"332","","","","369.47431538401594","369.47431538401594","369.47431538401594"
"333","","","","383.7238021007854","383.7238021007854","383.7238021007854"
"334","","","","357.328854992303","357.328854992303","357.328854992303"
"335","","","","354.12880982002525","354.12880982002525","354.12880982002525"
"336","303.5342117649947","303.5342117649947","303.5342117649947","363.80273894505035","363.80273894505035","363.80273894505035"
"337","","","","366.36677895644493","366.36677895644493","366.36677895644493"
