"Step","multi-beta-learn - loss","multi-beta-learn - loss__MIN","multi-beta-learn - loss__MAX","single-beta-no-learn-beta - loss","single-beta-no-learn-beta - loss__MIN","single-beta-no-learn-beta - loss__MAX","single-beta-learn-beta - loss","single-beta-learn-beta - loss__MIN","single-beta-learn-beta - loss__MAX"
"947","5.501004617045245","5.501004617045245","5.501004617045245","5.603199902925614","5.603199902925614","5.603199902925614","5.4964123823511315","5.4964123823511315","5.4964123823511315"
"961","5.512248863232476","5.512248863232476","5.512248863232476","5.530179467755366","5.530179467755366","5.530179467755366","5.525373665360574","5.525373665360574","5.525373665360574"
"964","5.557596328056888","5.557596328056888","5.557596328056888","5.66470710892835","5.66470710892835","5.66470710892835","5.563734212882905","5.563734212882905","5.563734212882905"
"990","5.581512352261749","5.581512352261749","5.581512352261749","5.548797622522112","5.548797622522112","5.548797622522112","5.4849971425303","5.4849971425303","5.4849971425303"
"996","5.576453778710865","5.576453778710865","5.576453778710865","5.496985864609424","5.496985864609424","5.496985864609424","5.446490754372221","5.446490754372221","5.446490754372221"
"997","5.431581750781444","5.431581750781444","5.431581750781444","5.496764993213247","5.496764993213247","5.496764993213247","5.54603712558451","5.54603712558451","5.54603712558451"
"1020","5.505185960285657","5.505185960285657","5.505185960285657","5.473016331757822","5.473016331757822","5.473016331757822","5.4884035335623595","5.4884035335623595","5.4884035335623595"
"1049","5.511055080196898","5.511055080196898","5.511055080196898","5.589062524145445","5.589062524145445","5.589062524145445","5.403963152826664","5.403963152826664","5.403963152826664"
"1066","5.565262212893768","5.565262212893768","5.565262212893768","5.5337095358055075","5.5337095358055075","5.5337095358055075","5.452481987686233","5.452481987686233","5.452481987686233"
"1074","5.495126237566415","5.495126237566415","5.495126237566415","5.541123131478187","5.541123131478187","5.541123131478187","5.46327350792634","5.46327350792634","5.46327350792634"
"1103","5.429517581744133","5.429517581744133","5.429517581744133","","","","","",""
"1112","5.56159178593925","5.56159178593925","5.56159178593925","5.505638583240874","5.505638583240874","5.505638583240874","5.510290942035979","5.510290942035979","5.510290942035979"
"1128","5.496602522379456","5.496602522379456","5.496602522379456","5.610536652362993","5.610536652362993","5.610536652362993","5.582569285882054","5.582569285882054","5.582569285882054"
"1130","5.463000574748353","5.463000574748353","5.463000574748353","5.534861707311916","5.534861707311916","5.534861707311916","5.466079256820772","5.466079256820772","5.466079256820772"
"1136","5.563845296544353","5.563845296544353","5.563845296544353","5.526624741123121","5.526624741123121","5.526624741123121","5.515576890472998","5.515576890472998","5.515576890472998"
"1164","5.566998655359676","5.566998655359676","5.566998655359676","5.495347592772837","5.495347592772837","5.495347592772837","5.460828946175626","5.460828946175626","5.460828946175626"
"1167","5.48347014946996","5.48347014946996","5.48347014946996","5.5193347590352175","5.5193347590352175","5.5193347590352175","5.453726101740388","5.453726101740388","5.453726101740388"
"1182","5.422918247802342","5.422918247802342","5.422918247802342","5.568053799606238","5.568053799606238","5.568053799606238","5.452374383936308","5.452374383936308","5.452374383936308"
"1216","5.454224105303409","5.454224105303409","5.454224105303409","5.531610233345762","5.531610233345762","5.531610233345762","5.523163559724874","5.523163559724874","5.523163559724874"
"1232","5.467509573198892","5.467509573198892","5.467509573198892","5.5441370232707845","5.5441370232707845","5.5441370232707845","5.4978663772252325","5.4978663772252325","5.4978663772252325"
"1238","5.498679305049515","5.498679305049515","5.498679305049515","5.5108017808809056","5.5108017808809056","5.5108017808809056","5.466868569711538","5.466868569711538","5.466868569711538"
"1252","5.453703788398139","5.453703788398139","5.453703788398139","5.5135658408973836","5.5135658408973836","5.5135658408973836","5.385840880082367","5.385840880082367","5.385840880082367"
"1268","5.440455762239035","5.440455762239035","5.440455762239035","5.492426294041431","5.492426294041431","5.492426294041431","5.449899116240442","5.449899116240442","5.449899116240442"
"1271","5.464531416192656","5.464531416192656","5.464531416192656","5.499076129721223","5.499076129721223","5.499076129721223","5.520368364333157","5.520368364333157","5.520368364333157"
"1351","5.4828556681174305","5.4828556681174305","5.4828556681174305","5.442770896259294","5.442770896259294","5.442770896259294","5.48363188916911","5.48363188916911","5.48363188916911"
"1366","5.3976157554490145","5.3976157554490145","5.3976157554490145","5.414279419264669","5.414279419264669","5.414279419264669","5.399325767896953","5.399325767896953","5.399325767896953"
"1403","5.3397114543759265","5.3397114543759265","5.3397114543759265","","","","5.379335761672987","5.379335761672987","5.379335761672987"
"1428","5.3846864261586775","5.3846864261586775","5.3846864261586775","5.591988171594127","5.591988171594127","5.591988171594127","5.424681905804402","5.424681905804402","5.424681905804402"
"1446","5.444018328913866","5.444018328913866","5.444018328913866","5.405417127566909","5.405417127566909","5.405417127566909","5.461132302101481","5.461132302101481","5.461132302101481"
"1447","5.533965868924039","5.533965868924039","5.533965868924039","5.502128593497859","5.502128593497859","5.502128593497859","5.469989547907947","5.469989547907947","5.469989547907947"
"1448","5.407595122400683","5.407595122400683","5.407595122400683","5.463781023789922","5.463781023789922","5.463781023789922","5.408076500161618","5.408076500161618","5.408076500161618"
"1470","5.5055777274932245","5.5055777274932245","5.5055777274932245","5.448630949519231","5.448630949519231","5.448630949519231","5.45849968003081","5.45849968003081","5.45849968003081"
"1501","5.434915671890406","5.434915671890406","5.434915671890406","5.446967556260932","5.446967556260932","5.446967556260932","5.419408727016378","5.419408727016378","5.419408727016378"
"1507","5.536355368264548","5.536355368264548","5.536355368264548","5.451591883723443","5.451591883723443","5.451591883723443","5.494688356077516","5.494688356077516","5.494688356077516"
"1531","5.367028844638134","5.367028844638134","5.367028844638134","5.4598094415469856","5.4598094415469856","5.4598094415469856","5.394281144438703","5.394281144438703","5.394281144438703"
"1576","5.4294780284366455","5.4294780284366455","5.4294780284366455","5.423759391918912","5.423759391918912","5.423759391918912","5.357406021712662","5.357406021712662","5.357406021712662"
"1598","5.356803678458677","5.356803678458677","5.356803678458677","5.349776634583956","5.349776634583956","5.349776634583956","5.401926965781907","5.401926965781907","5.401926965781907"
"1686","5.333093779648034","5.333093779648034","5.333093779648034","5.3770604780434645","5.3770604780434645","5.3770604780434645","5.345493982394094","5.345493982394094","5.345493982394094"
"1702","5.339323449322558","5.339323449322558","5.339323449322558","5.454782054500907","5.454782054500907","5.454782054500907","5.359532994817624","5.359532994817624","5.359532994817624"
"1718","5.356030370414908","5.356030370414908","5.356030370414908","5.491537948776451","5.491537948776451","5.491537948776451","5.34008320485513","5.34008320485513","5.34008320485513"
"1741","5.428882193098345","5.428882193098345","5.428882193098345","5.350504698122682","5.350504698122682","5.350504698122682","5.422410143222733","5.422410143222733","5.422410143222733"
"1760","5.386773991732497","5.386773991732497","5.386773991732497","5.472093043458117","5.472093043458117","5.472093043458117","5.393089138151769","5.393089138151769","5.393089138151769"
"1773","5.374140895964945","5.374140895964945","5.374140895964945","5.373386473167599","5.373386473167599","5.373386473167599","5.355158507404866","5.355158507404866","5.355158507404866"
"1782","5.3589643722389875","5.3589643722389875","5.3589643722389875","5.465698740187292","5.465698740187292","5.465698740187292","5.400934105886673","5.400934105886673","5.400934105886673"
"1792","5.2991092365249814","5.2991092365249814","5.2991092365249814","5.361127325102561","5.361127325102561","5.361127325102561","5.431542690320131","5.431542690320131","5.431542690320131"
"1814","5.376323559503954","5.376323559503954","5.376323559503954","5.371608319152704","5.371608319152704","5.371608319152704","5.435024035306787","5.435024035306787","5.435024035306787"
"1821","5.281595777789806","5.281595777789806","5.281595777789806","5.398854129643652","5.398854129643652","5.398854129643652","5.385397875715352","5.385397875715352","5.385397875715352"
"1830","5.309571762122712","5.309571762122712","5.309571762122712","5.4330299961419755","5.4330299961419755","5.4330299961419755","5.467553073470951","5.467553073470951","5.467553073470951"
"1832","5.3767680755437475","5.3767680755437475","5.3767680755437475","5.342771204598473","5.342771204598473","5.342771204598473","5.406412981749908","5.406412981749908","5.406412981749908"
"1833","5.321992957073709","5.321992957073709","5.321992957073709","5.452057840446683","5.452057840446683","5.452057840446683","5.364033400410354","5.364033400410354","5.364033400410354"
"1846","5.405108877620342","5.405108877620342","5.405108877620342","5.374358655554697","5.374358655554697","5.374358655554697","5.36170946488855","5.36170946488855","5.36170946488855"
"1897","5.284290958351454","5.284290958351454","5.284290958351454","5.403733570743747","5.403733570743747","5.403733570743747","5.370628028007258","5.370628028007258","5.370628028007258"
"1933","5.349387258461121","5.349387258461121","5.349387258461121","5.41545886934284","5.41545886934284","5.41545886934284","5.390083549142927","5.390083549142927","5.390083549142927"
"1944","5.362581985996426","5.362581985996426","5.362581985996426","5.347549847513897","5.347549847513897","5.347549847513897","5.354710757813466","5.354710757813466","5.354710757813466"
"1956","5.307627830073017","5.307627830073017","5.307627830073017","5.380235867237482","5.380235867237482","5.380235867237482","5.33992657315561","5.33992657315561","5.33992657315561"
"1985","5.360010024229431","5.360010024229431","5.360010024229431","5.364848674350419","5.364848674350419","5.364848674350419","5.3982178856094","5.3982178856094","5.3982178856094"
"1991","5.354915662819581","5.354915662819581","5.354915662819581","5.441104666316537","5.441104666316537","5.441104666316537","5.357668606455917","5.357668606455917","5.357668606455917"
"2014","5.320295152052643","5.320295152052643","5.320295152052643","5.476066656470698","5.476066656470698","5.476066656470698","5.289035028531771","5.289035028531771","5.289035028531771"
"2028","5.39789367480204","5.39789367480204","5.39789367480204","5.315224803697782","5.315224803697782","5.315224803697782","5.370482913550459","5.370482913550459","5.370482913550459"
"2034","5.297952525858206","5.297952525858206","5.297952525858206","5.449343870192307","5.449343870192307","5.449343870192307","5.44507104091463","5.44507104091463","5.44507104091463"
