"Step","gen2-spiking - ppl","gen2-spiking - ppl__MIN","gen2-spiking - ppl__MAX","stateleaky-tuned - ppl","stateleaky-tuned - ppl__MIN","stateleaky-tuned - ppl__MAX"
"5956","","","","161.69930905829443","161.69930905829443","161.69930905829443"
"6007","18.253234424814437","18.253234424814437","18.253234424814437","164.5513910427493","164.5513910427493","164.5513910427493"
"6196","16.167273125697175","16.167273125697175","16.167273125697175","142.06705916031314","142.06705916031314","142.06705916031314"
"6232","","","","144.14898897572556","144.14898897572556","144.14898897572556"
"6297","","","","154.5853518246675","154.5853518246675","154.5853518246675"
"6312","","","","131.54123745390729","131.54123745390729","131.54123745390729"
"6318","17.847586993164725","17.847586993164725","17.847586993164725","153.3830338949125","153.3830338949125","153.3830338949125"
"6357","16.743184250704047","16.743184250704047","16.743184250704047","149.2498470361617","149.2498470361617","149.2498470361617"
"6440","17.0869471546218","17.0869471546218","17.0869471546218","159.43959509161755","159.43959509161755","159.43959509161755"
"6455","16.274513784702496","16.274513784702496","16.274513784702496","154.09389609611182","154.09389609611182","154.09389609611182"
"6484","16.48785015290006","16.48785015290006","16.48785015290006","152.60683084687582","152.60683084687582","152.60683084687582"
"6534","15.871284733599254","15.871284733599254","15.871284733599254","145.92202725433577","145.92202725433577","145.92202725433577"
"6673","","","","146.36802075584222","146.36802075584222","146.36802075584222"
"6676","16.606370365923876","16.606370365923876","16.606370365923876","157.53364754991728","157.53364754991728","157.53364754991728"
"6695","","","","128.2739691667404","128.2739691667404","128.2739691667404"
"6763","15.525052220027932","15.525052220027932","15.525052220027932","154.40184835306755","154.40184835306755","154.40184835306755"
"7112","","","","144.44834054013046","144.44834054013046","144.44834054013046"
"7212","","","","146.03350949722838","146.03350949722838","146.03350949722838"
"7299","13.834039676538671","13.834039676538671","13.834039676538671","123.45585119091844","123.45585119091844","123.45585119091844"
"7357","","","","134.47777825347868","134.47777825347868","134.47777825347868"
"7431","16.118703646878647","16.118703646878647","16.118703646878647","128.26152786941643","128.26152786941643","128.26152786941643"
"7498","","","","142.8583697441869","142.8583697441869","142.8583697441869"
"7614","15.643427225227251","15.643427225227251","15.643427225227251","124.52784385412731","124.52784385412731","124.52784385412731"
"7621","14.180375972580318","14.180375972580318","14.180375972580318","131.91873885332447","131.91873885332447","131.91873885332447"
"7871","14.84932576913473","14.84932576913473","14.84932576913473","125.92261747658522","125.92261747658522","125.92261747658522"
"7901","14.816720911711705","14.816720911711705","14.816720911711705","123.81490256773941","123.81490256773941","123.81490256773941"
"7908","","","","128.93645302565213","128.93645302565213","128.93645302565213"
"7992","15.77766405703702","15.77766405703702","15.77766405703702","119.05146657462632","119.05146657462632","119.05146657462632"
"8151","14.434934078147057","14.434934078147057","14.434934078147057","125.89597128958953","125.89597128958953","125.89597128958953"
"8166","15.571431273860846","15.571431273860846","15.571431273860846","120.15889403263944","120.15889403263944","120.15889403263944"
"8331","14.724386647514796","14.724386647514796","14.724386647514796","125.11420050681116","125.11420050681116","125.11420050681116"
"8334","","","","109.96567907521401","109.96567907521401","109.96567907521401"
"8336","16.596480053720498","16.596480053720498","16.596480053720498","123.0285151195724","123.0285151195724","123.0285151195724"
"8372","15.56991197812475","15.56991197812475","15.56991197812475","121.5643880224362","121.5643880224362","121.5643880224362"
"8425","14.437672417589098","14.437672417589098","14.437672417589098","119.72522837773447","119.72522837773447","119.72522837773447"
"8982","15.449671400328526","15.449671400328526","15.449671400328526","102.66988676938077","102.66988676938077","102.66988676938077"
"8983","","","","108.80982849858462","108.80982849858462","108.80982849858462"
"9141","14.347358866495886","14.347358866495886","14.347358866495886","112.56661546757138","112.56661546757138","112.56661546757138"
"9166","14.418674105852686","14.418674105852686","14.418674105852686","104.90442090155686","104.90442090155686","104.90442090155686"
"9197","15.81215942479998","15.81215942479998","15.81215942479998","97.5162081534588","97.5162081534588","97.5162081534588"
"9243","14.994510130859295","14.994510130859295","14.994510130859295","98.93409185447562","98.93409185447562","98.93409185447562"
"9348","14.93067625582032","14.93067625582032","14.93067625582032","94.1003615348225","94.1003615348225","94.1003615348225"
"9427","15.955947776928182","15.955947776928182","15.955947776928182","94.12130945154543","94.12130945154543","94.12130945154543"
"9532","15.949402742478583","15.949402742478583","15.949402742478583","87.16045053197068","87.16045053197068","87.16045053197068"
"9633","14.377276881658185","14.377276881658185","14.377276881658185","107.19978058382317","107.19978058382317","107.19978058382317"
"9751","14.86820952383138","14.86820952383138","14.86820952383138","94.5641048642827","94.5641048642827","94.5641048642827"
"9883","13.729265290059331","13.729265290059331","13.729265290059331","84.38844865140018","84.38844865140018","84.38844865140018"
"10104","13.364222808650707","13.364222808650707","13.364222808650707","95.54716319914205","95.54716319914205","95.54716319914205"
"10106","16.305574700661026","16.305574700661026","16.305574700661026","76.7485450417746","76.7485450417746","76.7485450417746"
"10159","14.249030668296543","14.249030668296543","14.249030668296543","94.38304762037414","94.38304762037414","94.38304762037414"
"10163","","","","88.0429133299012","88.0429133299012","88.0429133299012"
"10228","","","","95.57519670331568","95.57519670331568","95.57519670331568"
"10353","","","","81.01124865334661","81.01124865334661","81.01124865334661"
"10469","14.95107166507555","14.95107166507555","14.95107166507555","76.82198647033323","76.82198647033323","76.82198647033323"
"10524","14.189240764631334","14.189240764631334","14.189240764631334","78.98867964079022","78.98867964079022","78.98867964079022"
"10662","14.041331115486484","14.041331115486484","14.041331115486484","83.49689141694641","83.49689141694641","83.49689141694641"
"11066","13.816133335730951","13.816133335730951","13.816133335730951","72.89773561018193","72.89773561018193","72.89773561018193"
"11074","15.007437353914515","15.007437353914515","15.007437353914515","68.11123872947634","68.11123872947634","68.11123872947634"
"11123","14.709637920973417","14.709637920973417","14.709637920973417","72.83151334466113","72.83151334466113","72.83151334466113"
"11161","13.337270840359114","13.337270840359114","13.337270840359114","71.65592212831778","71.65592212831778","71.65592212831778"
"11182","14.152014180250722","14.152014180250722","14.152014180250722","73.24679384800997","73.24679384800997","73.24679384800997"
"11258","16.26975277049951","16.26975277049951","16.26975277049951","70.30241459072673","70.30241459072673","70.30241459072673"
"11373","15.60676068963438","15.60676068963438","15.60676068963438","67.15035289941562","67.15035289941562","67.15035289941562"
"11518","","","","61.40697549117527","61.40697549117527","61.40697549117527"
"11551","16.444662050171093","16.444662050171093","16.444662050171093","66.38691600940415","66.38691600940415","66.38691600940415"
"11590","15.386832156342868","15.386832156342868","15.386832156342868","64.23912051976994","64.23912051976994","64.23912051976994"
